ID,Week,Block,Rep,Hatch,Box,Isolation,DaysIso,Maturation,Trials I,#I,TDur,AvDur,T1,1#I,1IDur,1#E,1EDur,T2,2#I,2IDur,2#E,2EDur,T3,3#I,3IDur,3#E,3EDur,#E,TDurE,AvDurE,I1,I2,I3,E1,E2,E3,I,E,IC,EC,F1 HATCH,F1 BOX,F2 HATCH,F2 BOX,F3 HATCH,F3 BOX,F#,Mated,Agg,Aggb,Unsuc Att,Ig F Att,No Att
11-D,3,11,D,15/11/2019,1,18/02/2020,14,03/03/2020,2,3,37,12.3,63,0,0,1,19,93,1,11,0,0,110,2,26,0,0,1,19,6,0,1,1,1,0,0,11,100,2,1,06/12/2019,3,-,-,-,-,1,1,0,0,0,0,0
12-A,3,12,A,15/11/2019,1,18/02/2020,14,03/03/2020,1,1,25,25,62,0,0,0,0,95,1,25,1,9,112,0,0,1,63,2,72,24,0,1,0,0,1,1,10,11,1,2,13/12/2019,5,-,-,-,-,1,1,0,0,0,0,0
12-B,3,12,B,15/11/2019,1,18/02/2020,14,03/03/2020,1,1,16,16,62,0,0,0,0,101,0,0,1,37,104,1,16,0,0,1,37,12,0,0,1,0,1,0,1,10,1,1,15/11/2019,2,-,-,-,-,1,1,0,0,0,0,0
12-C,3,12,C,06/12/2019,4,25/02/2020,7,03/03/2020,1,1,9,9,76,0,0,0,0,95,1,9,1,25,104,0,0,1,16,2,41,14,0,1,0,0,1,1,10,11,1,2,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
12-D,3,12,D,15/11/2019,2,18/02/2020,14,03/03/2020,2,2,100,50,76,0,0,0,0,101,1,37,0,0,112,1,63,0,0,0,0,0,0,1,1,0,0,0,11,0,2,0,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
13-A,3,13,A,02/12/2019,4,18/02/2020,14,03/03/2020,3,6,45,7.5,60,1,9,0,0,94,2,4,0,0,107,3,32,0,0,0,0,0,1,1,1,0,0,0,111,0,3,0,15/11/2019,1,-,-,-,-,1,1,1,1,0,0,0
13-B,3,13,B,13/12/2019,6,18/02/2020,14,03/03/2020,1,1,3,3,60,0,0,1,9,90,1,3,0,0,118,0,0,1,23,2,32,11,0,1,0,1,0,1,10,101,1,2,13/12/2019,6,-,-,-,-,1,1,0,0,0,0,0
13-C,3,13,C,15/11/2019,1,18/02/2020,14,03/03/2020,2,2,53,26.5,78,1,30,1,24,94,0,0,2,4,118,1,23,0,0,3,28,9,1,0,1,1,1,0,101,110,2,2,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
13-D,3,13,D,15/11/2019,2,25/02/2020,7,03/03/2020,1,1,24,24,78,1,24,1,30,90,0,0,1,3,107,0,0,3,32,5,65,22,1,0,0,1,1,1,100,111,1,3,13/12/2019,5,06/12/2019,4,13/12/2019,5,0,0,1,1,0,1,1
14-A,3,14,A,13/12/2019,5,25/02/2020,7,03/03/2020,1,1,3,3,69,0,0,0,0,82,0,0,0,0,109,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,15/11/2019,1,-,-,-,-,1,1,0,0,0,0,0
